id,time,vx,vy,vz,wx,wy,wz
2022-12-14-08-02-07,1671026535.449679,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.4663477,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.4829931,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.4996893,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.5163107,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.5329938,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.5496495,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.5663064,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.5829716,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.5997546,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.6163964,0.7916695475578308,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.6329925,0.7916695475578308,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.6496994,0.7916695475578308,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.6663392,0.7916695475578308,0.0,0.0,0.0,0.0,0.012202274985611439
2022-12-14-08-02-07,1671026535.6829967,0.7945705056190491,0.0,0.0,0.0,0.0,0.06007719039916992
2022-12-14-08-02-07,1671026535.7010884,0.8063817024230957,0.0,0.0,0.0,0.0,0.07665425539016724
2022-12-14-08-02-07,1671026535.7163274,0.8063817024230957,0.0,0.0,0.0,0.0,0.07665425539016724
2022-12-14-08-02-07,1671026535.7330234,0.8063817024230957,0.0,0.0,0.0,0.0,0.07665425539016724
2022-12-14-08-02-07,1671026535.7496607,0.8063817024230957,0.0,0.0,0.0,0.0,0.07665425539016724
2022-12-14-08-02-07,1671026535.766342,0.8063817024230957,0.0,0.0,0.0,0.0,0.07665425539016724
2022-12-14-08-02-07,1671026535.7829938,0.8063817024230957,0.0,0.0,0.0,0.0,0.07665425539016724
2022-12-14-08-02-07,1671026535.7996554,0.8063817024230957,0.0,0.0,0.0,0.0,0.07665425539016724
2022-12-14-08-02-07,1671026535.816338,0.8063817024230957,0.0,0.0,0.0,0.0,0.07665425539016724
2022-12-14-08-02-07,1671026535.8329828,0.8063817024230957,0.0,0.0,0.0,0.0,0.08770563453435898
2022-12-14-08-02-07,1671026535.849688,0.8063817024230957,0.0,0.0,0.0,0.0,0.08770563453435898
2022-12-14-08-02-07,1671026535.8664615,0.8063817024230957,0.0,0.0,0.0,0.0,0.08770563453435898
2022-12-14-08-02-07,1671026535.8834946,0.7916695475578308,0.0,0.0,0.0,0.0,0.07298485189676285
2022-12-14-08-02-07,1671026535.8996952,0.7916695475578308,0.0,0.0,0.0,0.0,0.03616131469607353
2022-12-14-08-02-07,1671026535.9171166,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.9329815,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.9497206,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.9663546,0.7886995077133179,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.983007,0.7886995077133179,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.9996724,0.7886995077133179,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026536.0163696,0.803411602973938,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026536.0330195,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026536.0496647,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026536.0668638,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026536.0829802,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026536.0996768,0.8210937976837158,0.0,0.0,0.0,0.0,0.004820302128791809
2022-12-14-08-02-07,1671026536.1163213,0.8210937976837158,0.0,0.0,0.0,0.0,0.03616131469607353
2022-12-14-08-02-07,1671026536.132996,0.8210937976837158,0.0,0.0,0.0,0.0,0.03797443211078644
2022-12-14-08-02-07,1671026536.1497197,0.8210937976837158,0.0,0.0,0.0,0.0,0.04902581125497818
2022-12-14-08-02-07,1671026536.1663518,0.8210937976837158,0.0,0.0,0.0,0.0,0.061933472752571106
2022-12-14-08-02-07,1671026536.182979,0.8210937976837158,0.0,0.0,0.0,0.0,0.061933472752571106
2022-12-14-08-02-07,1671026536.1996908,0.8210937976837158,0.0,0.0,0.0,0.0,0.061933472752571106
2022-12-14-08-02-07,1671026536.2163334,0.8210937976837158,0.0,0.0,0.0,0.0,0.061933472752571106
2022-12-14-08-02-07,1671026536.2329843,0.8210937976837158,0.0,0.0,0.0,0.0,0.061933472752571106
2022-12-14-08-02-07,1671026536.249669,0.8210937976837158,0.0,0.0,0.0,0.0,0.061933472752571106
2022-12-14-08-02-07,1671026536.266488,0.8210937976837158,0.0,0.0,0.0,0.0,0.061933472752571106
2022-12-14-08-02-07,1671026536.2830086,0.8210937976837158,0.0,0.0,0.0,0.0,0.05826406925916672
2022-12-14-08-02-07,1671026536.2996702,0.8210937976837158,0.0,0.0,0.0,0.0,0.047212690114974976
2022-12-14-08-02-07,1671026536.3171291,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026536.3331182,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026536.3496692,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026536.3663387,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
